time,NEGATIVE,POSITIVE,pct,nltk_polarity
2022-04-04 02:00:00+00:00,71,120,0.6282722513089005,0.3182658163265306
2022-04-04 03:00:00+00:00,92,100,0.5208333333333334,0.32901785714285714
2022-04-04 04:00:00+00:00,50,48,0.4897959183673469,0.3049060606060606
2022-04-04 05:00:00+00:00,67,124,0.6492146596858639,0.34340301507537685
2022-04-04 06:00:00+00:00,83,112,0.5743589743589743,0.282835
2022-04-04 07:00:00+00:00,42,57,0.5757575757575758,0.32044200000000006
2022-04-04 08:00:00+00:00,91,98,0.5185185185185185,0.3622489898989899
2022-04-04 09:00:00+00:00,73,117,0.6157894736842106,0.34161161616161617
2022-04-04 10:00:00+00:00,98,97,0.49743589743589745,0.2838155778894472
2022-04-04 11:00:00+00:00,40,56,0.5833333333333334,0.2824989898989899
2022-04-04 12:00:00+00:00,75,119,0.6134020618556701,0.29166852791878173
2022-04-04 13:00:00+00:00,82,111,0.5751295336787565,0.3168578680203046
2022-04-04 14:00:00+00:00,86,107,0.5544041450777202,0.29377602040816325
2022-04-04 15:00:00+00:00,48,48,0.5,0.3037030303030303
2022-04-04 16:00:00+00:00,92,105,0.5329949238578681,0.29264472361809046
2022-04-04 17:00:00+00:00,86,109,0.558974358974359,0.23750812182741116
2022-04-04 18:00:00+00:00,41,54,0.5684210526315789,0.3112371134020619
2022-04-04 19:00:00+00:00,91,106,0.5380710659898477,0.27810454545454544
2022-04-04 20:00:00+00:00,96,98,0.5051546391752577,0.2681665
2022-04-04 21:00:00+00:00,82,114,0.5816326530612245,0.25679798994974873
2022-04-04 22:00:00+00:00,43,53,0.5520833333333334,0.24211818181818182
2022-04-04 23:00:00+00:00,103,94,0.47715736040609136,0.263328
2022-04-05 00:00:00+00:00,97,101,0.51010101010101,0.316760101010101
2022-04-05 01:00:00+00:00,94,102,0.5204081632653061,0.3422095
2022-04-05 02:00:00+00:00,47,53,0.53,0.332699
2022-04-05 03:00:00+00:00,93,99,0.515625,0.30721010101010104
2022-04-05 04:00:00+00:00,75,124,0.6231155778894473,0.30989350000000004
2022-04-05 05:00:00+00:00,86,106,0.5520833333333334,0.2912605
2022-04-05 06:00:00+00:00,43,54,0.5567010309278351,0.2592612244897959
2022-04-05 07:00:00+00:00,83,111,0.5721649484536082,0.2921378787878788
2022-04-05 08:00:00+00:00,88,103,0.5392670157068062,0.31850507614213197
2022-04-05 09:00:00+00:00,45,55,0.55,0.313718
2022-04-05 10:00:00+00:00,81,114,0.5846153846153846,0.2102788944723618
2022-04-05 11:00:00+00:00,81,111,0.578125,0.3064994845360825
2022-04-05 12:00:00+00:00,99,98,0.49746192893401014,0.250413567839196
2022-04-05 13:00:00+00:00,39,60,0.6060606060606061,0.25291010101010103
2022-04-05 14:00:00+00:00,84,114,0.5757575757575758,0.28667149999999997
2022-04-05 15:00:00+00:00,82,117,0.5879396984924623,0.2917255
2022-04-05 16:00:00+00:00,92,107,0.5376884422110553,0.228552
2022-04-05 17:00:00+00:00,51,48,0.48484848484848486,0.212106
2022-04-05 18:00:00+00:00,95,105,0.525,0.25119199999999997
2022-04-05 19:00:00+00:00,83,113,0.576530612244898,0.2590537688442211
2022-04-05 20:00:00+00:00,44,52,0.5416666666666666,0.22158877551020406
2022-04-05 21:00:00+00:00,106,91,0.4619289340101523,0.22206030150753767
2022-04-05 22:00:00+00:00,81,95,0.5397727272727273,0.3254467005076142
2022-04-05 23:00:00+00:00,85,71,0.4551282051282051,0.3122777777777778
2022-04-06 00:00:00+00:00,31,61,0.6630434782608695,0.24724105263157894
2022-04-06 01:00:00+00:00,92,102,0.5257731958762887,0.3041275
2022-04-06 02:00:00+00:00,76,116,0.6041666666666666,0.2321994791666667
