Symbol: ZCK22,,,,,,Study: VOL,
Date Time,Open,High,Low,Close,Change,Volume,Open Interest
4/04/2022 0:00,743.25,746,743,746,2.5,644,
4/04/2022 1:00,746,747.25,744.75,747.25,1.25,1041,
4/04/2022 2:00,747,747.5,745.25,745.5,-1.75,1251,
4/04/2022 3:00,745.75,748.25,745.5,748,2.5,573,
4/04/2022 4:00,748,748,742,743.25,-4.75,1486,
4/04/2022 5:00,743,745,743,744.5,1.25,739,
4/04/2022 6:00,744.75,746.25,744.25,746.25,1.75,1735,
4/04/2022 7:00,746.25,748.5,746,748,1.75,1634,
4/04/2022 8:00,749.5,752.25,741,742,-6,16394,
4/04/2022 9:00,741.75,749.5,741.5,747.25,5.25,12412,
4/04/2022 10:00,747.25,750,742.25,744.5,-2.75,5298,
4/04/2022 11:00,744.25,744.75,742.25,743.5,-1,3880,
4/04/2022 12:00,743.25,748.5,743.25,748.25,4.75,4495,
4/04/2022 13:00,748.25,751.5,748.25,749.25,1,7023,
4/04/2022 19:00,750.75,756,749.25,755.25,6,2612,
4/04/2022 20:00,755,756,754.75,755.25,0,394,
4/04/2022 21:00,755.5,756.5,754.25,754.25,-1,738,
4/04/2022 22:00,754.25,755.5,754,754.75,0.5,191,
4/04/2022 23:00,754.75,755,753.75,755,0.25,239,
5/04/2022 0:00,755,755.75,753.75,753.75,-1.25,432,
5/04/2022 1:00,753.5,754.5,752.75,754.25,0.5,315,
5/04/2022 2:00,754.25,754.75,753,754.25,0,592,
5/04/2022 3:00,754.5,755.75,753,753.5,-0.75,354,
5/04/2022 4:00,753.75,758.25,753.5,758,4.5,1039,
5/04/2022 5:00,757.75,760.75,756.75,760.5,2.5,2644,
5/04/2022 6:00,760.25,760.5,755.5,756.75,-3.75,2019,
5/04/2022 7:00,756.5,761,755.5,760.5,3.75,1503,
5/04/2022 8:00,760,768,758.5,764.25,3.75,13799,
5/04/2022 9:00,764.25,766,757.5,758.25,-6,10504,
5/04/2022 10:00,758,760.25,755.5,757.25,-1,6522,
5/04/2022 11:00,757,761.5,755.5,761,3.75,5240,
5/04/2022 12:00,760.75,763.75,760.5,762,1,3303,
5/04/2022 13:00,762,762.25,759,760.5,-1.5,4740,
5/04/2022 19:00,759.75,760,756.75,757.25,-3.25,1359,
5/04/2022 20:00,757,757.75,756,756.75,-0.5,840,
5/04/2022 21:00,756.75,759.75,756.5,759.5,2.75,444,
5/04/2022 22:00,759.5,761,759.25,760.5,1,336,
5/04/2022 23:00,760.75,760.75,760,760.25,-0.25,148,
6/04/2022 0:00,760,760.75,759,759,-1.25,324,
6/04/2022 1:00,759,759.5,757.5,758.25,-0.75,425,
6/04/2022 2:00,758.5,758.5,756.75,757,-1.25,818,
6/04/2022 3:00,757.25,759.25,755.75,758.25,1.25,778,
6/04/2022 4:00,758.25,758.5,756.5,757.25,-1,404,
6/04/2022 5:00,757.5,757.5,754,755,-2.25,956,
