Symbol: VIJ22,,,,,,Study: VOL,
Date Time,Open,High,Low,Close,Change,Volume,Open Interest
4/04/2022 0:00,22.3,22.33,22.15,22.2,-0.1,87,
4/04/2022 1:00,22.2,22.26,22.1,22.25,0.05,255,
4/04/2022 2:00,22.2,22.57,22.15,22.45,0.2,537,
4/04/2022 3:00,22.4,22.55,22.3,22.35,-0.1,403,
4/04/2022 4:00,22.35,22.35,22.13,22.15,-0.2,378,
4/04/2022 5:00,22.2,22.25,22.08,22.25,0.1,277,
4/04/2022 6:00,22.25,22.25,22.05,22.07,-0.18,466,
4/04/2022 7:00,22.1,22.3,22.08,22.27,0.2,283,
4/04/2022 8:00,22.25,22.3,21.59,21.62,-0.65,6619,
4/04/2022 9:00,21.6,21.9,21.55,21.7,0.08,9189,
4/04/2022 10:00,21.7,21.75,21.3,21.35,-0.35,4636,
4/04/2022 11:00,21.35,21.48,21.3,21.4,0.05,2477,
4/04/2022 12:00,21.42,21.45,21.3,21.37,-0.03,2688,
4/04/2022 13:00,21.4,21.55,21.33,21.4,0.03,3060,
4/04/2022 14:00,21.4,21.4,20.9,20.95,-0.45,10064,
4/04/2022 15:00,20.95,21.1,20.9,21.1,0.15,2756,
4/04/2022 17:00,21.1,21.1,21,21.05,-0.05,42,
4/04/2022 18:00,21.05,21.1,21,21.1,0.05,102,
4/04/2022 19:00,21.1,21.2,21.05,21.15,0.05,194,
4/04/2022 20:00,21.15,21.15,21.13,21.13,-0.02,17,
4/04/2022 21:00,21.1,21.16,21.1,21.15,0.02,123,
4/04/2022 22:00,21.2,21.2,21.15,21.2,0.05,120,
4/04/2022 23:00,21.19,21.2,21.15,21.15,-0.05,85,
5/04/2022 0:00,21.2,21.2,21.1,21.13,-0.02,79,
5/04/2022 1:00,21.13,21.2,21.1,21.1,-0.03,321,
5/04/2022 2:00,21.1,21.2,20.93,21.02,-0.08,840,
5/04/2022 3:00,21.05,21.05,20.99,21.05,0.03,385,
5/04/2022 4:00,21.05,21.3,21.03,21.3,0.25,136,
5/04/2022 5:00,21.25,21.35,21.2,21.25,-0.05,283,
5/04/2022 6:00,21.25,21.36,21.19,21.19,-0.06,390,
5/04/2022 7:00,21.2,21.35,21.19,21.35,0.16,602,
5/04/2022 8:00,21.3,21.51,21.1,21.48,0.13,5919,
5/04/2022 9:00,21.49,22.21,21.3,21.9,0.42,18396,
5/04/2022 10:00,21.9,22.38,21.86,22.35,0.45,6760,
5/04/2022 11:00,22.38,22.6,22.07,22.07,-0.28,5193,
5/04/2022 12:00,22.06,22.45,21.81,22.35,0.28,4385,
5/04/2022 13:00,22.38,22.45,22.1,22.22,-0.13,4425,
5/04/2022 14:00,22.2,23.31,22.15,23.15,0.93,14567,
5/04/2022 15:00,23.15,23.2,22.85,22.85,-0.3,3083,
5/04/2022 17:00,22.8,22.96,22.8,22.91,0.06,206,
5/04/2022 18:00,22.91,23,22.9,22.95,0.04,57,
5/04/2022 19:00,23,23.15,22.85,23.15,0.2,194,
5/04/2022 20:00,23.15,23.2,23.02,23.2,0.05,180,
5/04/2022 21:00,23.2,23.24,23.1,23.1,-0.1,218,
5/04/2022 22:00,23.1,23.2,23.05,23.16,0.06,66,
5/04/2022 23:00,23.1,23.1,23.05,23.1,-0.06,86,
6/04/2022 0:00,23.1,23.1,22.94,23.05,-0.05,258,
6/04/2022 1:00,23.05,23.06,22.75,22.85,-0.2,724,
6/04/2022 2:00,22.85,23.65,22.8,23.6,0.75,1877,
6/04/2022 3:00,23.6,23.8,23.4,23.55,-0.05,1366,
6/04/2022 4:00,23.55,23.9,23.55,23.7,0.15,849,
6/04/2022 5:00,23.72,24.05,23.65,24,0.3,975,
6/04/2022 6:00,24,24.4,24,24.35,0.35,850,
6/04/2022 7:00,24.35,24.45,24.15,24.25,-0.1,1104,
6/04/2022 8:00,24.27,25.2,24.1,25.2,0.95,10879,
6/04/2022 9:00,25.2,25.6,25.03,25.25,0.05,14323,
6/04/2022 10:00,25.3,25.5,24.78,24.88,-0.37,8274,
6/04/2022 11:00,24.85,25.41,24.8,25.15,0.27,5027,
6/04/2022 12:00,25.16,25.25,24.45,24.55,-0.6,5399,
6/04/2022 13:00,24.55,25.35,23.6,23.85,-0.7,14434,
6/04/2022 14:00,23.81,24.45,23.55,23.7,-0.15,14980,
6/04/2022 15:00,23.75,24.05,23.65,24.05,0.35,3869,
6/04/2022 17:00,24,24,23.8,23.9,-0.15,95,
6/04/2022 18:00,23.85,24.15,23.85,24,0.1,387,
6/04/2022 19:00,24.05,24.2,24,24.1,0.1,277,
6/04/2022 20:00,24.15,24.15,23.9,23.99,-0.11,252,
6/04/2022 21:00,24,24.08,24,24.05,0.06,61,
6/04/2022 22:00,24.05,24.2,24.05,24.2,0.15,58,
6/04/2022 23:00,24.3,24.3,24.2,24.2,0,168,
7/04/2022 0:00,24.2,24.25,24,24.1,-0.1,262,
7/04/2022 1:00,24.1,24.15,23.7,23.7,-0.4,444,
7/04/2022 2:00,23.75,23.85,23.55,23.85,0.15,638,
7/04/2022 3:00,23.85,23.9,23.55,23.55,-0.3,544,
7/04/2022 4:00,23.55,23.66,23.45,23.45,-0.1,512,
7/04/2022 5:00,23.45,23.45,23.35,23.4,-0.05,558,
7/04/2022 6:00,23.4,23.6,23.1,23.45,0.05,871,
7/04/2022 7:00,23.44,23.8,23.44,23.73,0.28,1374,
7/04/2022 8:00,23.75,23.95,23.29,23.51,-0.22,6721,
7/04/2022 9:00,23.5,24.2,23.45,23.87,0.36,11589,
7/04/2022 10:00,23.9,24.3,23.6,24.13,0.26,7900,
7/04/2022 11:00,24.15,24.45,23.9,24.21,0.08,6845,
7/04/2022 12:00,24.21,24.26,23.33,23.4,-0.81,5641,
7/04/2022 13:00,23.4,23.75,23.11,23.12,-0.28,5943,
7/04/2022 14:00,23.15,23.2,22.64,22.95,-0.17,9149,
7/04/2022 15:00,22.93,23.2,22.9,23.1,0.15,2706,
7/04/2022 17:00,23.1,23.15,23.1,23.15,0.05,24,
7/04/2022 18:00,23.1,23.1,22.95,22.95,-0.2,78,
7/04/2022 19:00,23,23.3,22.95,23.15,0.2,124,
7/04/2022 20:00,23.15,23.25,23.15,23.2,0.05,68,
7/04/2022 21:00,23.22,23.3,23.15,23.15,-0.05,296,
7/04/2022 22:00,23.15,23.25,23.15,23.2,0.05,77,
7/04/2022 23:00,23.2,23.25,23.2,23.25,0.05,87,
8/04/2022 0:00,23.2,23.2,22.95,23,-0.25,138,
8/04/2022 1:00,23,23,22.8,22.8,-0.2,305,
8/04/2022 2:00,22.85,22.95,22.65,22.65,-0.15,462,
8/04/2022 3:00,22.7,22.88,22.6,22.85,0.2,423,
8/04/2022 4:00,22.85,23,22.85,22.9,0.05,374,
8/04/2022 5:00,22.9,23.05,22.88,22.9,0,361,
8/04/2022 6:00,22.9,22.9,22.75,22.85,-0.05,275,
8/04/2022 7:00,22.8,23.15,22.8,23.1,0.25,449,
8/04/2022 8:00,23.11,23.7,23.11,23.65,0.55,5435,
8/04/2022 9:00,23.66,23.7,22.5,22.5,-1.15,9980,
8/04/2022 10:00,22.5,22.85,22.35,22.53,0.03,5871,
8/04/2022 11:00,22.5,22.55,22,22.05,-0.48,4981,
8/04/2022 12:00,22.05,22.55,22,22.35,0.3,4116,
8/04/2022 13:00,22.4,22.77,22.2,22.45,0.1,3981,
8/04/2022 14:00,22.5,23.1,22.24,22.85,0.4,9451,
8/04/2022 15:00,22.8,22.95,22.75,22.9,0.05,2627,
Downloaded from Barchart.com as of 04-09-2022 07:45pm CDT,,,,,,,
